id,keywords,year,_title,_creation,_artist,_collection,_sitelinks
Q455319,"Christ Child, Jakob Meyer zum Hasen, Mary, boy, cloak, mother, woman",1520,Darmstadt Madonna,1526,Hans Holbein the Younger,Würth Collection,12
Q698993,"Jacopo Strada, cartouche, statue",1560,Portrait of Jacopo Strada,1567-1568,Titian,Kunsthistorisches Museum,12
Q665337,conversion of Paul the Apostle,1560,Conversion of Paul,1567,Pieter Brueghel the Elder,Kunsthistorisches Museum,12
Q743643,"Jesus, Joseph",1640,Joseph the Carpenter,1642,Georges de La Tour,Department of Paintings of the Louvre,12
Q490312,"Jesus, Mary, horse, ladder, man, woman",1560,Crucifixion,1565,Jacopo Tintoretto,Scuola Grande di San Rocco,12
Q493792,"Andrea Doria, Facing left, Neptune, drapery, mast, nudity, trident",1540,Portrait of Andrea Doria as Neptune,1545-1546,Bronzino,Pinacoteca di Brera,12
Q377810,"Aaron, Moses, Mount Sinai, Tablets of Stone, child, cloud, dance, golden calf, idolatry, man, mountain, sky, tree, twilight, woman",1630,The Adoration of the Golden Calf,1634,Nicolas Poussin,National Gallery,12
Q880502,"Willem van Heythuysen, goatee, hat, man, moustache, ruff, standing, stocking, sword",1620,Willem van Heythuysen posing with a sword,1625,Frans Hals,Bavarian State Painting Collections,12
Q884782,"Crucifixion of Jesus, Jesus, cloud, crepuscular ray, hill, sky, tree",1800,Altarpiece Tetschen,1807,Caspar David Friedrich,Staatliche Kunstsammlungen Dresden,12
Q429753,Epsom Derby,1820,The 1821 Derby at Epsom,1821,Théodore Géricault,Department of Paintings of the Louvre,12
Q926809,"1795–1820 clothing, Joaquina Téllez-Girón, Marquise of Santa Cruz, brown hair, dress, décolletage, fainting couch, half reclining, lyre, lyre-guitar, waist-length hair, woman, wreath",1800,Portrait of the Marchioness of Santa Cruz,1805,Francisco Goya,Museo del Prado,12
Q560057,"Christ Child, John the Baptist, Mary, boy, mother, woman",1500,Terranuova Madonna,1505,Raphael,Gemäldegalerie,12
Q931837,"Flagellation of Christ, Jesus, man",1600,Christ at the Column,1606,Caravaggio,Musée des Beaux-Arts de Rouen,12
Q941416,"Juno, Jupiter, Thetis, barefoot, beard, black hair, chestnut hair, cloud, couple, diadem, drapery, eagle, female breast, kneeling, male toplessness, navel, sandal, sitting, sky, throne, toplessness, waist-length hair",1810,Jupiter and Thetis,1811,Jean-Auguste-Dominique Ingres,Musée Granet,12
Q949323,"Bible, Hortensio Félix Paravicino, chair, man, priest, sitting",1600,Fray Hortensio Félix Paravicino,1609,El Greco,Museum of Fine Arts Boston,12
Q956541,"Battle of the Plains of Abraham, James Wolfe",1770,The Death of General Wolfe,1770,Benjamin West,National Gallery of Canada,12
Q203259,"Archangel Michael, angel",1620,The Fall of the Damned,1621,Peter Paul Rubens,Bavarian State Painting Collections,12
Q570163,"Jesus, Jesus and the woman taken in adultery, man, the woman taken in adultery",1640,The Woman Taken in Adultery,1644,Rembrandt,National Gallery,12
Q2425901,"Annunciation, Gabriel, Mary, angel, lily, woman",1850,Ecce Ancilla Domini,1850,Dante Gabriel Rossetti,National Gallery,12
Q2429754,"Cupid, arrow, bow string, boy, nudity, sleep",1600,Sleeping Cupid,1608,Caravaggio,Galleria Palatina,12
Q2252345,"Jan Deyman, dissection",1650,The anatomy lesson of Dr. Joan Deijman,1656,Rembrandt,Rijksmuseum,12
Q2264914,"Margaret Theresa of Spain, flower",1650,Infanta Margarita Teresa in a Blue Dress,1659,Diego Velázquez,Kunsthistorisches Museum,12
Q2269788,man,1880,Portrait of Doctor Felix Rey,1889,Vincent van Gogh,Pushkin Museum of Fine Arts,12
Q2270805,boy,1880,The Boy in the Red Vest,1888-1890,Paul Cézanne,Foundation E.G. Bührle Collection,12
Q2272625,,1820,The Cornfield,1826,John Constable,National Gallery,12
Q2273901,dog,1630,Joseph's Tunic,1630,Diego Velázquez,Royal Monastery of San Lorenzo de El Escorial,12
Q2066739,"Christ Child, Madonna and Child, Mary, Paul the Apostle, Saint Peter, angel, boy, mother, woman",1460,San Zeno Altarpiece,1460,Andrea Mantegna,Basilica of San Zeno,12
Q2067336,"Assumption of Mary, Mary Magdalene, angel, apostle, man, putto, tomb",1620,Assumption of the Virgin,1626,Peter Paul Rubens,Onze-Lieve-Vrouwekathedraal,12
Q594470,"Archangel Michael, angel",1510,St. Michael Vanquishing Satan,1518,Raphael,Department of Paintings of the Louvre,12
Q595707,"Laura de Noves, Laurel, Laurus, areola, brown hair, coif, courtesan, dress, décolletage, fur, lapel, part, scarf, smile, toplessness, waist-length hair, woman",1500,Laura,1506,Giorgione,Kunsthistorisches Museum,12
Q613390,"White people, blouse, chair, girl, hat, table",1880,Young Girls in Black,1882,Pierre-Auguste Renoir,Pushkin Museum of Fine Arts,12
Q1433194,"Christ Child, Mary, boy, woman",1600,Nativity with Saint Francis and Saint Lawrence,1609,Caravaggio,http://www.wikidata.org/.well-known/genid/6c591ff9d7b608b8aa4a3febefedef57,12
Q1437492,"Amélie Parayre, hand fan, hat, woman",1900,Woman,1905,Henri Matisse,San Francisco Museum of Modern Art,12
Q2285602,,1760,General Johnson Saving a Wounded French Officer from the Tomahawk of a North American Indian,1764,Benjamin West,Derby Museum and Art Gallery,12
Q1523506,"Earth's surface, cavalry, cavalry charge, horse, sky",1930,Red Cavalry Riding,1932,Kazimir Malevich,Russian Museum,12
Q1569622,"Abraham, Christ Child, David, Isaiah, Jeremiah, Jesus, Madonna and Child, Mary, angel, boy, mother, prophet, scroll, throne, woman",1290,Madonna and Child Enthroned with Angels and Prophets. ˋSanta Trinità Maestà´,1290-1300,Cimabue,Uffizi Gallery,12
Q2311238,"Beatrix van der Laen, Isaac Massa, man, married couple, woman",1620,Portrait of a Couple probably Isaac Massa and Beatrix van der Laen,1622,Frans Hals,Rijksmuseum,12
Q2318325,"Salome, beheaded head, human head, tray, woman",1600,Salome with the Head of John the Baptist,1607,Caravaggio,National Gallery,12
Q2318957,"Salome, beheaded head, human head, tray, woman",1600,Salome with the Head of John the Baptist,1609,Caravaggio,Royal Palace of Madrid,12
Q2325834,"Jesus, man",1600,Ecce Homo,1605,Caravaggio,Palazzo Bianco,12
Q2327715,"Christ Child, Mary, boy, woman",1600,Adoration of the Shepherds,1609,Caravaggio,Regional museum of Messina,12
Q2328603,"Jesus, man",1490,Christ Carrying the Cross,1498-1507,Hieronymus Bosch,Royal Monastery of San Lorenzo de El Escorial,12
Q1698794,John the Baptist,1450,The Altar of St. John,1455,Rogier van der Weyden,Gemäldegalerie,12
Q1751408,"Christ Child, Francis of Assisi, Job, John the Baptist, Louis of Toulouse, Mary, Saint Dominic, Sebastian, angel, boy, mother, music, sacra conversazione, woman",1480,Madonna and Child enthroned with Saints and Angels,1487,Giovanni Bellini,Gallerie dell'Accademia,12
Q1762826,"Christ Child, Madonna and Child, Mary, cloud, landscape",1470,Contarini Madonna,1475,Giovanni Bellini,Gallerie dell'Accademia,12
Q1772871,"Battle of Trafalgar, HMS Achille, HMS Victory, Redoutable, international maritime signal flag",1820,The Battle of Trafalgar,1822-1824,J. M. W. Turner,Royal Museums Greenwich,12
Q1857132,"Paris, Q2925653, Q3518590, chimney, dormer, high-angle shot, landscape, mansard roof, roof, roofs of Paris, sky, snow, tree, winter",1870,Vue de toits,1878,Gustave Caillebotte,Musée d'Orsay,12
Q2090737,"Moon, book, brook, cave, cloak, cloud, lamp, man, neckerchief, satchel, skeleton, skull, walking stick",1760,A Philosopher by Lamplight,1769,Joseph Wright of Derby,Derby Museum and Art Gallery,12
Q2091114,"French hunting horn, Intemperance, barrel, branch, table",1490,An Allegory of Intemperance,1495-1500,Hieronymus Bosch,Yale University Art Gallery,12
Q2381716,"Alpha Leonis A, Christ Child, Joseph, Leo, Mary, Milky Way, Ursa Major, boy, woman",1600,The Flight into Egypt,1609,Adam Elsheimer,Bavarian State Painting Collections,12
Q1989202,Jerome,1520,Saint Jerome in His Study,1521,Albrecht Dürer,National Museum of Ancient Art,12
Q1993685,"Betula, Resurrection Church in Susanino, Rook, sky, snow",1870,The Rooks Have Returned,1871,Alexei Kondratievich Savrasov,Tretyakov Gallery,12
Q2448678,"child, massacre",1610,Massacre of the Innocents,1611,Guido Reni,Pinacoteca Nazionale di Bologna,12
Q24090,"Crown of thorns, Crowning with Thorns, Jesus",1540,The Crowning with Thorns,1542-1543,Titian,Department of Paintings of the Louvre,12
Q6728432,,1890,Madonnina,1897,Roberto Ferruzzi,http://www.wikidata.org/.well-known/genid/5b6ce1df4f0a9c1ff4326f512ad47b04,12
Q2512728,Anthony the Great,1510,The Temptation of St Anthony,1510-1515,http://www.wikidata.org/.well-known/genid/b3b345f88244afe7351b3d7f7819cd11,Museo del Prado,12
Q10322900,"Camille Doncieux, blond hair, hand fan, kimono, painting, standing, wall, wig, woman",1870,Madame Monet wearing a kimono,1876,Claude Monet,Museum of Fine Arts Boston,12
Q10749451,"Abraham, Isaac, angel",1630,Abraham's Sacrifice,1635,Rembrandt,Hermitage Museum,12
Q11786749,"Black people, dress, earring, female breast, headscarf, necklace, toplessness, uchiwa, woman",1880,Black Woman,1884,Anna Bilińska-Bohdanowicz,National Museum in Warsaw,12
Q15734146,"Victorian house, railroad tie, railway, railway track",1920,House by the Railroad,1925,Edward Hopper,Museum of Modern Art,12
Q2537138,hand fan,1770,The Parasol,1777,Francisco Goya,Museo del Prado,12
Q15877622,"Alfred Sisley, Claude Monet, Edmond Maître, Fisherman with a Net, Frédéric Bazille, La Tireuse de cartes, La Toilette, Paris, Pierre-Auguste Renoir, Q66845497, View of the Village, Woman looking at a bird, Zacharie Astruc, conversation, man, music, musician, painter, painting, piano, sitting, stairs, stove, studio, window, Édouard Manet, Émile Zola",1870,Bazille's Studio,1870,Édouard Manet,Musée d'Orsay,12
Q15974339,"Mary Magdalene, Penitent Magdalene, areola, cave, cloud, female breast, moonlight, mortification of the flesh, naked woman, night, nipple, red hair, sky, waist-length hair",1530,Penitent Magdalene,1533,Titian,Galleria Palatina,12
Q2589202,"Ahasuerus, Esther, Haman",1660,Ahasuerus and Haman at the Feast of Esther,1660,Rembrandt,Pushkin Museum of Fine Arts,12
Q2701637,,1940,Scene at the Signing of the Constitution of the United States,1940,Howard Chandler Christy,United States Capitol,12
Q21258327,"boy, child, painting",1860,Boys drawing,1864,Sofie Ribbing,Gothenburg Museum of Art,12
Q21260816,"bow, sheet music, violin, woman",1770,Portrait of a violinist,1773,Anne Vallayer-Coster,Nationalmuseum,12
Q23008305,"Europa Anguissola, Lucia Anguissola, Minerva Anguissola, checkmate, chess, chessboard, domestic worker, girl, woman",1550,Portrait of the Artist's Sisters Playing Chess,1555,Sofonisba Anguissola,National Museum in Poznań,12
Q17319634,"bird, dog, egg, swan, thistle, war",1650,The Threatened Swan,1650,Jan Asselijn,Rijksmuseum,12
Q17343012,"Jacob de Gheyn III, man",1630,Portrait of Jacob de Gheyn III,1632,Rembrandt,Dulwich Picture Gallery,12
Q18010742,"Black people, White people, armpit, balustrade, barefoot, bed, bracelet, clothed male, naked female, curtain, domestic worker, drapery, earring, enslaved person, fountain, hand fan, hookah, man, music, musician, navel, necklace, nudity, odalisque, pillow, see-through clothing, titian hair, turban, woman",1830,Odalisque à l'esclave,1839,Jean-Auguste-Dominique Ingres,Fogg Museum,12
Q18208623,"Oslofjord, bridge, fear, man, sunset, woman",1890,Anxiety,1894,Edvard Munch,Munch Museum,12
Q18222055,"Pauline de Galard de Brassac de Béarn, bracelet, dress, glove, lace, necklace, pearl, portrait, woman",1850,"Joséphine-Éléonore-Marie-Pauline de Galard de Brassac de Béarn (1825–1860), Princesse de Broglie",1851-1853,Jean-Auguste-Dominique Ingres,Metropolitan Museum of Art,12
Q18756478,"Candaules, Gyges of Lydia, Nyssia, alcove, back, beard, bed, bedroom, candaulism, chignon, clothed male, naked female, column, dimples of Venus, drapery, footstool, gluteal sulcus, headband, intergluteal cleft, kneeling, man, moustache, nudity, overweight, pillow, standing, waist, walking, woman",1830,"Candaules, King of Lydia, Shews his Wife by Stealth to Gyges, One of his Ministers, as She Goes to Bed",1830,William Etty,Tate,12
Q19356352,crab,1880,Two Crabs,1889,Vincent van Gogh,http://www.wikidata.org/.well-known/genid/646c1eb7759412eb118b4d75c7b76185,12
Q19363211,"Vincent van Gogh, bandage, button, canvas, chambranle, compress, easel, fur, hat, human, overcoat, painter, studio",1880,Self-Portrait with Bandaged Ear,1889,Vincent van Gogh,Courtauld Gallery,12
Q20354732,"Lot, Lot's daughters, Sodom and Gomorrah",1850,The Destruction of Sodom And Gomorrah,1852,John Martin,Laing Art Gallery,12
Q20735396,Cleopatra,1820,The Triumph of Cleopatra,1821,William Etty,Lady Lever Art Gallery,12
Q1103801,"Mary Magdalene, Saint Cecilia, ecstasy, musical instrument, waist-length hair, woman",1510,The Ecstasy of Saint Cecilia,1514,Raphael,Pinacoteca Nazionale di Bologna,12
Q1115514,"Lucretia, woman",1500,The Story of Lucretia,1500,Sandro Botticelli,Isabella Stewart Gardner Museum,12
Q1087226,"Jesus, man",1610,Christ in the House of Martha and Mary,1618,Diego Velázquez,National Gallery,12
Q1232131,"bean soup, eater",1580,The Bean Eater,1580-1585,Annibale Carracci,Palazzo Colonna,12
Q1235695,"Christ Child, Francis of Assisi, John the Evangelist, Mary",1510,Madonna of the Harpies,1517,Andrea del Sarto,Uffizi Gallery,12
Q1245431,"Joseph-Auguste Rousselin, Léon Leenhoff, Suzanne Manet, boater, body armor, gaze towards the viewer, lunch, man, table, tablecloth, top hat, woman, Édouard Manet",1860,Luncheon in the Studio,1868,Édouard Manet,Bavarian State Painting Collections,12
Q1193312,"ace of diamonds, ace of spades, bottle, boy, card game, card player, card sharp, domestic worker, footstool, hat, man, playing card, seven of spades, table, woman",1630,The Cheat with the Ace of Diamonds,1635,Georges de La Tour,Department of Paintings of the Louvre,12
Q1198304,"Boot jack, book, mansard roof, mattress, nightcap, poet, poverty, stove, umbrella",1830,The Poor Poet,1839,Carl Spitzweg,,12
Q1211651,"Philistines, Samson, blinding, man",1630,The Blinding of Samson,1636,Rembrandt,Städel Museum,12
Q1213936,"Samuel David Gross, Thomas Jefferson University, dissection",1870,The Gross Clinic,1875,Thomas Eakins,Philadelphia Museum of Art,12
Q2734111,Urban VIII,1590,"Portrait of Maffeo Barberini, later Pope Urban VIII",1598,Caravaggio,http://www.wikidata.org/.well-known/genid/01578b16318e1230d256e2f7df9ea851,12
Q3210253,"Mary Magdalene, barefoot, book, brown hair, contre-jour, crucifix, dress, décolletage, flame, human skull, knee, light, light source, lower leg, mortification of the flesh, oil lamp, rope, shirt, shoulder, sitting, skirt, table, toe, waist-length hair, wall, woman",1640,Magdalene with the Smoking Flame,1640-1645,Georges de La Tour,Munich Central Collecting Point,12
Q3210257,"Christ Child, Jesus, John the Baptist, John the Evangelist, Madonna and Child, Mary, bowl, boy, crucifix, halo, hortus conclusus, mother, palm, tropical vegetation, woman",1480,Madonna Bardi,1484-1500,Sandro Botticelli,Gemäldegalerie,12
Q3210835,"Clos Lucé, Francis I of France, Leonardo da Vinci, agony, bed, drapery, fauteuil, lying, man, sitting, standing, table",1810,The Death of Leonardo da Vinci,1818,Jean-Auguste-Dominique Ingres,Musée des Beaux-Arts de la ville de Paris,12
Q3212033,"Christ Child, Mary, boy, woman",1450,Presentation at the Temple,1454,Andrea Mantegna,Gemäldegalerie,12
Q3221859,"Coronation of the Virgin, God the Father, Jesus, Mary, angel, orb, woman",1630,Coronation of the Virgin,1634-1636,Diego Velázquez,Museo del Prado,12
Q2736720,"Francisco Goya, man",1820,Self-portrait with Dr Arrieta,1820,Francisco Goya,Minneapolis Institute of Art,12
Q2741541,"Christ Child, Mary, adoration, biblical Magi, boy, man, ruins, woman",1470,Monforte Altarpiece,1470,Hugo van der Goes,Gemäldegalerie,12
Q2786992,,1860,View of the Village,1868,Frédéric Bazille,Musée Fabre,12
Q2805058,"Aphrodite, Cupid, Eros, Venus, armpit, female breast, hat, navel, necklace, standing, tree, woman",1520,Cupid Complaining to Venus,1526-1527,Lucas Cranach the Elder,National Gallery,12
Q2872725,Rembrandt,1660,Self Portrait with Two Circles,1665,Rembrandt,Kenwood House,12
Q2892964,"book, candle, door, fruit, illuminated manuscript, man, mirror, money, pearl, usury, weighing scale, woman",1510,The Moneylender and his Wife,1514,Quinten Metsys,Department of Paintings of the Louvre,12
Q2902188,Amélie Parayre,1900,Green Stripe,1905,Henri Matisse,Statens Museum for Kunst,12
Q3055367,"Constantinople, Crusades, child, city, column, equestrian, horse, military colours, prisoner, private, siege, soldier, woman",1840,Entry of the Crusaders in Constantinople,1840,Eugène Delacroix,Department of Paintings of the Louvre,12
Q3099894,"cloud, girl, sky, violin",1860,Alone in the World,1867,William-Adolphe Bouguereau,http://www.wikidata.org/.well-known/genid/f5440193ee110c78ab1025feefbca3e8,12
Q3138273,Balthasar Charles,1630,Prince Balthasar Charles With a Dwarf,1631,Diego Velázquez,Museum of Fine Arts Boston,12
Q3138984,"Carnival, Harlequin, Mardi Gras, Pierrot, curtain, disguise, man",1880,Mardi Gras,1888,Paul Cézanne,Pushkin Museum of Fine Arts,12
Q3172259,"Connecticut River, Mount Holyoke, Northampton, The Oxbow, Thomas Cole, agricultural land, artist's portfolio, bird, canvas, chimney, easel, folding stool, haystack, horse, landscape, landscape painting, mountain, nature, paintbrush, painting, pastoral, promontory, river, sailboat, sky, smoke, storm, thunderstorm, tree, tree stump, umbrella",1830,The Oxbow,1836,Thomas Cole,Metropolitan Museum of Art,12
Q3228069,"apple, bed, bedroom, chair, couple, latch",1770,The Lock,1770-1776,Jean-Honoré Fragonard,Department of Paintings of the Louvre,12
Q2165279,Catherine of Alexandria,1500,Saint Catherine of Alexandria,1507,Raphael,National Gallery,12
Q2234397,Gaius Julius Civilis,1660,The Conspiracy of Claudius Civilis,1661,Rembrandt,Rijksmuseum,12
Q3224308,"Joseph, Mary, woman",1500,Marriage of the Virgin,1501,Pietro Perugino,Musée des Beaux-Arts de Caen,12
Q3224378,"capital, frieze, infant, involuntary manslaughter, murder, pain, paver, sett, soldier, sword, toddler, woman",1620,Massacre of the Innocents,1620,Nicolas Poussin,Condé Museum,12
Q3208135,"dance, man, woman",1890,Dance of Life,1899-2000,Edvard Munch,"National Museum of Art, Architecture and Design",12
Q3208369,"Andromache, Astyanax, Hector, corpse, helmet, tear, weapon",1780,Andromache Mourning Hector,1782,Jacques-Louis David,Beaux-Arts de Paris,12
Q3884945,"Agony in the Garden, Jesus, John the Apostle, Judas Iscariot, Saint Peter, St. James the Elder, Apostle",1450,The Agony in the Garden,1450-1456,Andrea Mantegna,National Gallery,12
Q3885854,"Hera, Heracles, Hercules, Juno, Jupiter, Milky Way, Milky Way as milk from breast of a woman, Zeus, beard, blond hair, bracelet, breast milk, breastfeeding, chariot, eagle, earring, female breast, halo, lactation, lightning, navel, necklace, nipple, nudity, overweight, peafowl, pearl, sky, star, veil",1630,The Origin of the Milky Way,1636,Peter Paul Rubens,Museo del Prado,12
Q3235403,"flower, mango, nude, standing, toplessness, tray, woman",1890,Two Tahitian Women,1899,Paul Gauguin,Metropolitan Museum of Art,12
Q3314110,guitar,1820,A Pilgrimage to San Isidro,1820-1823,Francisco Goya,Museo del Prado,12
Q3348220,,1880,Spoliarium,1884,Juan Luna,National Museum of the Philippines,12
Q3399498,Niccolò Albergati,1430,Portrait of Cardinal Niccolò Albergati,1438,Jan van Eyck,Kunsthistorisches Museum,12
Q3402890,"goat, scapegoat",1850,The Scapegoat,1854,William Holman Hunt,Lady Lever Art Gallery,12
Q3835761,"Moulin Rouge, can can, dancer",1880,Le Chahut,1889,Georges Seurat,Kröller-Müller Museum,12
Q3842778,"Christ Child, Madonna and Child, Mary, curtain, landscape, mountain",1510,The Gypsy Madonna,1510,Titian,Kunsthistorisches Museum,12
Q3612415,,1610,Allegory of Inclination,1615,Artemisia Gentileschi,Casa Buonarroti,12
Q3614563,,1630,Amor and Psyche,1639-1700,Anthony van Dyck,Royal Collection,12
Q3630751,"Rembrandt, man",1640,Self-Portrait at the Age of 34,1640,Rembrandt,National Gallery,12
Q3663892,"akimbo, arrow, boot, coat, equestrianism, hat, horse, man, quiver, saber, saddle blanket, stirrup, traditional costume",1650,The Polish Rider,1655,Rembrandt,The Frick Collection,12
Q3757652,"bodice, brown hair, dress, décolletage, part, shutter, smile, standing, veil, waist-length hair, window, woman",1660,Two Women at a Window,1665,Bartolomé Esteban Murillo,National Gallery of Art,12
Q3766163,,1880,Young Woman Powdering Herself,1889,Georges Seurat,Courtauld Gallery,12
Q3766167,"mirror image, naked woman, window, young adult woman",1510,Naked Young Woman in Front of the Mirror,1515,Giovanni Bellini,Kunsthistorisches Museum,12
Q3825327,"hat, spoon",1780,Blind Man's Bluff,1788,Francisco Goya,Museo del Prado,12
Q3898507,"Adam, Eve, Garden of Eden, Meleagris, animal, beard, blond hair, contrapposto, couple, dog, fall of man, horse, leopard, lion, man, nudity, parrot, peafowl, pubic hair removal, rabbit, serpent in the Bible, sitting, snake, tiger, tree of the knowledge of good and evil, waist-length hair, woman",1610,The Garden of Eden with the Fall of Man,1615,Peter Paul Rubens,Mauritshuis,12
Q3907532,"Coronation of the Virgin, Jesus, Mary, Mary Magdalene, man, waist-length hair, woman",1410,Coronation of the Virgin with Saints (Valle Romita Polyptych),1410,Gentile da Fabriano,Pinacoteca di Brera,12
Q3918296,"Christ Child, Mary, boy, mother, rosary, woman",1650,Virgin and Child with a Rosary,1650-1655,Bartolomé Esteban Murillo,Museo del Prado,12
Q3937568,Hieronymus Holzschuher,1520,Portrait of Hieronymus Holzschuher,1527,Albrecht Dürer,Gemäldegalerie,12
Q3947218,San Giorgio Maggiore,1900,San Giorgio Maggiore at Dusk,1908,Claude Monet,Amgueddfa Cymru – Museum Wales,12
Q4091893,,1890,Nevermore,1897,Paul Gauguin,Courtauld Institute of Art,12
Q4179284,"Pecten maximus, back, beach, buttocks, chestnut hair, conch, dimples of Venus, female breast, foam, gaze towards the viewer, intergluteal cleft, lying, mussel, nudity, rock, sand, sea, seashell, seaweed, shore, smile, waist, waist-length hair, wind wave, woman",1860,The Pearl and the Wave,1862,Paul-Jacques-Aimé Baudry,Museo del Prado,12
Q4179482,"flower, woman",1890,Tahitian Woman with a Flower,1891,Paul Gauguin,Ny Carlsberg Glyptotek,12
Q4311873,"human pregnancy, woman",1900,Hope,1903,Gustav Klimt,National Gallery of Canada,12
Q4390923,"mountain, sky, woman",1500,Isleworth Mona Lisa,1502,Leonardo da Vinci,http://www.wikidata.org/.well-known/genid/5e5cc003b63902dacc7b10c7950eb57c,12
Q4404599,,1870,Sadko,1876,Ilya Repin,Russian Museum,12
Q4518897,"black, circle",1920,Black Circle,1924,Kazimir Malevich,Russian Museum,12
Q4531523,,1830,Sunset,1837,Caspar David Friedrich,Hermitage Museum,12
Q4657050,,1870,A Girl with a Watering Can,1876,Pierre-Auguste Renoir,National Gallery of Art,12
Q4693305,"lamb, table",1630,Agnus Dei,1635-1640,Francisco de Zurbarán,Museo del Prado,12
Q4892867,"La Crau, harvest",1880,"Harvest at La Crau, with Montmajour in the Background",1888,Vincent van Gogh,Van Gogh Museum,12
Q4924524,"The Alyscamps, autumn, avenue, broad-leaved tree, promenade, roadside tree, sarcophagus, sky, strolling, tomb",1880,Les Alyscamps,1888,Vincent van Gogh,http://www.wikidata.org/.well-known/genid/55d29a3fea3bcd25a416c0eadb0c5ba7,12
Q4942269,"horse, nudity, red hair, saliva secretion, woman",1890,Frenzy of Exultations,1893,Władysław Podkowiński,National Museum in Kraków,12
Q5177084,"1795–1820 clothing, María Teresa de Borbón, 15th Countess of Chinchón, woman",1800,Countess of Chinchon,1800,Francisco Goya,Museo del Prado,12
Q5316837,"Christ Child, Jesus, Mary, book",1430,Durán Madonna,1435,Rogier van der Weyden,Museo del Prado,12
Q5564463,"chair, cloth, dressing table, frame, mirror, sewing machine, sky, window, woman",1920,Girl at Sewing Machine,1921,Edward Hopper,Thyssen-Bornemisza Museum,12
Q5818528,"Oedipus, bone, cave, corpse, eye contact, man, nudity, spear, sphinx",1800,Oedipus and the Sphinx,1808,Jean-Auguste-Dominique Ingres,Department of Paintings of the Louvre,12
Q5916308,"fountain, mirror",1760,The Immaculate Conception,1767-1769,Giovanni Battista Tiepolo,Museo del Prado,12
Q7997465,,2000,Who put Bella in the Wych Elm?,2006,,,12
Q6106760,Jorge Manuel Theocupulus,1600,Portrait of Jorge Manuel Theotocópuli,1600-1605,El Greco,Museo de Bellas Artes de Sevilla,12
Q5966425,"Catalina Micaela of Spain, fur, woman",1570,Lady in a Fur Wrap,1577,Alonso Sánchez Coello,Kelvingrove Art Gallery and Museum,12
Q959628,Book of Tobit,1810,Asmodea,1819-1823,Francisco Goya,Museo del Prado,11
Q655657,"Death of the Virgin Mary, Jesus, Mary, book, woman",1470,The Dormition,1475,Hugo van der Goes,Groeningemuseum,11
Q738038,"Child Saint John, Christ Child, Mary, landscape",1510,Madonna with the Blue Diadem,1512-1518,Gianfrancesco Penni,Department of Paintings of the Louvre,11
Q764831,Saint Nicholas Day,1660,The Feast of Saint Nicholas,1665,Jan Steen,Rijksmuseum,11
Q152851,"areola, body of water, brown hair, chignon, cloud, female breast, fish, mons pubis, navel, nipple, nude swimming, nudity, pubic hair removal, sky, standing, woman",1910,In the Water,1914,Eugene de Blaas,http://www.wikidata.org/.well-known/genid/bc1c666de1a3afba962a43dd534f8c6a,11
Q669872,"Saint Eustace, headgear, religious conversion, scroll, stag, tunic",1400,The Vision of Saint Eustace,1400-1442,Pisanello,National Gallery,11
Q867678,"Mustela erminea, courtesan, part, standing, woman",1520,Antea,1520-1600,Parmigianino,Museo di Capodimonte,11
Q871812,"Icarus, siren",1890,The Lament for Icarus,1898,Herbert James Draper,National Gallery,11
Q153788,"Actaeon, Callisto, Diana, bathing, clothed male, naked female, forest, hunting dog, landscape, man, nudity, nymph, watercourse, woman",1630,Diana Bathing with her Nymphs with Actaeon and Callisto,1634,Rembrandt,Burg Anholt,11
Q379906,"fortune teller, man, woman",1630,The Fortune Teller,1630,Georges de La Tour,Metropolitan Museum of Art,11
Q398126,"Fraxinus excelsior, Salisbury Cathedral, cloud, meadow, rainbow, sky, tombstone, tree, watercourse",1830,Salisbury Cathedral from the Meadows,1831,John Constable,Tate,11
Q920041,,1810,The Burial of the Sardine,1814-1900,Francisco Goya,Royal Academy of Fine Arts of San Fernando,11
Q939962,"Ganymede, Zeus, dog, eagle",1520,Ganymede Abducted by the Eagle,1520-1540,Antonio da Correggio,Kunsthistorisches Museum,11
Q949567,"bracelet, interior space, pumpkin, saw, tunic",1870,The Shadow of Death,1873,William Holman Hunt,Manchester Art Gallery,11
Q231953,"Antwerp, Onze-Lieve-Vrouwekathedraal, Red colobus, Scheldt",1560,Two Chained Monkeys,1562,Pieter Brueghel the Elder,Gemäldegalerie,11
Q257048,"John the Baptist, sermon",1560,The Sermon of Saint John the Baptist,1566,Pieter Brueghel the Elder,"Museum of Fine Arts, Budapest",11
Q262360,"lark, wheat",1880,Wheat Field with a Lark,1887,Vincent van Gogh,Van Gogh Museum,11
Q283665,Hercules at the crossroads,1590,The Choice of Hercules,1597,Annibale Carracci,Museo di Capodimonte,11
Q615851,"Christ Child, Jesus, Joseph, Mary, Salome, adoration of the Magi",1420,Nativity,1420,Robert Campin,Musée des Beaux-Arts de Dijon,11
Q644887,"Holofernes, Judith, knife, man, night, woman",1810,Judith and Holofernes,1819,Francisco Goya,Museo del Prado,11
Q2711706,,1480,Diptych of Maarten Nieuwenhove,1487,Hans Memling,Sint-Janshospitaal,11
Q24213,"Baltic Sea, Corvus, tree",1820,Tree of crows,1822,Caspar David Friedrich,Department of Paintings of the Louvre,11
