id,keywords,year,_title,_creation,_artist,_collection,_sitelinks
Q434461,"15th-century clothing, Anointing of the Sick in the Catholic Church, Eucharist in the Catholic Church, Jean Chevrot, Jesus, John the Apostle, Mary, altar, angel, baptism, bishop, chapel, church building, coat of arms, confession, confirmation, cross, marriage, ordination, sacrament of the Catholic Church, scroll, spandrel",1440,The Seven Sacraments,1440-1445,Rogier van der Weyden,Royal Museum of Fine Arts Antwerp,13
Q959537,"Mary, woman",1460,Death of the Virgin,1462,Andrea Mantegna,Museo del Prado,13
Q714794,"Catholicism, Judaism, Protestantism, man, prayer, rosary, woman",1940,Freedom of Worship,1943,Norman Rockwell,Norman Rockwell Museum,13
Q714804,"bed, child, father, mother",1940,Freedom from Fear,1943,Norman Rockwell,Norman Rockwell Museum,13
Q740212,Jeremiah,1630,Jeremiah Lamenting the Destruction of Jerusalem,1630,Rembrandt,Rijksmuseum,13
Q369913,"Annunciation, Christ Child, Mary, Passion, Resurrection of Jesus, adoration, adoration of the Magi, angel, annunciation to the shepherds, biblical Magi",1480,Advent and Triumph of Christ,1480,Hans Memling,Alte Pinakothek,13
Q2446983,"Jesus, man",1470,Scenes from the Passion of Christ,1470,Hans Memling,Galleria Sabauda,13
Q822535,"banquet, dog",1840,Isabella,1849,John Everett Millais,Walker Art Gallery,13
Q914984,"pearl, quill",1660,A Lady Writing a Letter,1665,Johannes Vermeer,National Gallery of Art,13
Q919861,"unidentified woman, young adult woman",1500,Portrait of a Young Woman,1507,Raphael,Galleria Nazionale delle Marche,13
Q924655,"Mark the Evangelist, Venice, archway, column, corpse",1560,St Mark's Body Brought to Venice,1562-1566,Jacopo Tintoretto,Gallerie dell'Accademia,13
Q536395,"Ancient Rome, armpit, auction, brown hair, child, clothed male, naked female, crowd, enslaved person, girl, hair loss, hip, man, merchant, mons pubis, navel, nudity, platform, pubic hair removal, public nudity, sitting, slave market, slavery in ancient Rome, standing, steatomery, toga, waist, waist-length hair, wall, woman",1880,Slave Market in Rome,1884,Jean-Léon Gérôme,Hermitage Museum,13
Q538859,"arch, basement, blanket, chain, crucifix, hay, lantern, man, stairs",1770,The Captive King,1772,Joseph Wright of Derby,Derby Museum and Art Gallery,13
Q548141,"Moon, Sansevieria, banana, bird, couch, elephant, flower, flute, fruit, jungle, lion, monkey, plant, snake charming, woman",1910,The Dream,1910,Henri Rousseau,Museum of Modern Art,13
Q2415259,"Archangel Michael, angel",1500,Saint Michael Vanquishing Satan,1503-1505,Raphael,Department of Paintings of the Louvre,13
Q2254945,"Helen of Troy, Paris, caryatid, lyre, phrygian cap",1780,Paris and Helen,1788,Jacques-Louis David,Department of Paintings of the Louvre,13
Q2269343,"Catherine of Alexandria, Christ Child, Jerome, Mary, Saint Lucy, Saint Peter, angel, boy",1500,San Zaccaria Altarpiece,1505,Giovanni Bellini,San Zaccaria,13
Q2269835,,1880,Arena in Arles,1888,Vincent van Gogh,Hermitage Museum,13
Q2270291,"apple, basket, fig, fruit, grape, leaf, pear",1590,Basket of Fruit,1597-1600,Caravaggio,Pinacoteca Ambrosiana,13
Q293990,"Oedipus, butterfly, corpse, man, mountain, shrub, snake, spear, sphinx, urn",1860,Oedipus and the Sphinx,1864,Gustave Moreau,Metropolitan Museum of Art,13
Q580853,"Christ Child, Madonna and Child, Mary, angel, mother",1460,Madonna and Child with an Angel,1465,Sandro Botticelli,Museo degli Innocenti,13
Q587514,"building, horse, human, man, wheelbarrow",1910,The City Rises,1910,Umberto Boccioni,Museum of Modern Art,13
Q603703,"Adonis, Cupid, Venus, Venus and Adonis, arch, back, barefoot, buttocks, clothed male, naked female, cloud, couple, dawn, dimples of Venus, dog collar, ewer, eye contact, hunting, hunting dog, intergluteal cleft, leash, nudity, pigtail, quiver, rural area, sitting, sky, sole, storm, titian hair, toe, tree, woman",1550,Venus and Adonis,1554,Titian,Museo del Prado,13
Q613928,"Antoine Lavoisier, Mary-Anne Paulze Lavoisier, chemistry, couple, inkwell, laboratory flask, man, paper, portrait, quill, scientist, woman",1780,Portrait of Antoine-Laurent Lavoisier and his wife,1788,Jacques-Louis David,Metropolitan Museum of Art,13
Q626791,Jerome,1600,Saint Jerome penitent,1600-1606,Caravaggio,Museum of Montserrat,13
Q1408753,"Danaë, bed, woman",1530,Danaë,1531,Antonio da Correggio,Borghese Collection,13
Q1448728,"Annunciation, Mary, angel",1600,Annunciation,1608-1610,Caravaggio,Museum of Fine Arts of Nancy,13
Q1523466,"line segment, rectangle, square",1910,Suprematist Composition,1915,Kazimir Malevich,Brett Gorvy,13
Q1523789,"Arnold Böcklin, Death, beard, bow, brown hair, eyebrow, gaze towards the viewer, human skeleton, man, paintbrush, painter, palette, violin, violinist, walrus moustache",1870,Self-Portrait with Death Playing the Fiddle,1872,Arnold Böcklin,Alte Nationalgalerie,13
Q1627187,,1890,Aha Oe Feii?,1892,Paul Gauguin,Pushkin Museum of Fine Arts,13
Q1633898,"parapet, woman",1510,La Schiavona,1510-1512,Titian,National Gallery,13
Q1635039,"Raphael, Tobias",1470,Tobias and the Angel,1470-1475,http://www.wikidata.org/.well-known/genid/5b1cf99ef07fff80321f938292690884,National Gallery,13
Q647202,"Medusa, human head, scorpion, snake, spider, woman",1610,Head of Medusa,1618,Peter Paul Rubens,Kunsthistorisches Museum,13
Q650086,"Balaam, Balaam's Ass, angel",1620,Balaam and the Ass,1626,Rembrandt,Musée Cognacq-Jay,13
Q1659383,,1890,The Garden of Death,1896,Hugo Simberg,Finnish National Gallery,13
Q1679544,"Blessing of Jacob, Jacob",1650,Jacob Blessing the Sons of Joseph,1656,Rembrandt,Gemäldegalerie Alte Meister,13
Q1684762,"Christ Child, Mary, boy, woman",1490,Manchester Madonna,1494,Michelangelo,National Gallery,13
Q1747282,"cloud, club, combat, landscape",1820,Fight with Cudgels,1820-1823,Francisco Goya,Museo del Prado,13
Q1848811,man,1520,Man with a Glove,1520,Titian,Department of Paintings of the Louvre,13
Q1988152,"Adonis, Aphrodite, Cupid, Eros, Venus, blond hair, bracelet, brown hair, chignon, clothed male, naked female, cloud, couple, dog, earring, hand fan, hunting dog, landscape, lying, man, pearl necklace, rural area, sandal, sitting, sky, sleep, standing, tunic, woman",1580,Venus and Adonis,1580,Paolo Veronese,Museo del Prado,13
Q48651005,Gustave Courbet,1840,Self-Portrait with a Black Dog,1842-1844,Gustave Courbet,Musée des Beaux-Arts de la ville de Paris,13
Q959174,man,1470,Portrait of a Man with a Medal of Cosimo the Elder,1474,Sandro Botticelli,Uffizi Gallery,13
Q2378567,"Annunciation, Gabriel, Mary, trumpet, woman",1420,Annunciation,1426,Fra Angelico,Museo del Prado,13
Q2389534,,1490,The Hermit Saint,1493,Hieronymus Bosch,Kunsthistorisches Museum,13
Q1990128,"Lucrezia Panciatichi, armrest, book, dress, fauteuil, necklace, part, pendant, pigtail, red hair, ring, waist-length hair",1540,Portrait of Lucrezia Panciatichi,1545,Bronzino,Uffizi Gallery,13
Q2448065,"Christ Child, Jesus among the doctors, boy",1500,Christ Among the Doctors,1506,Albrecht Dürer,Thyssen-Bornemisza Museum,13
Q2456003,"Mary, woman",1660,The Immaculate Conception of Los Venerables,1660-1665,Bartolomé Esteban Murillo,Museo del Prado,13
Q2457026,"Procris, agony, black hair, blond hair, cloud, dog, faun, female breast, hunting, major trauma, male toplessness, mourning, navel, satyr, shore, sky, toplessness, woman",1490,The Death of Procris,1495,Piero di Cosimo,National Gallery,13
Q24011,"1795–1820 clothing, Caroline Rivière, boa, broad-leaved tree, brown hair, dark brown, dress, earring, eyebrow, girl, glove, part, sky, smile, standing, village, watercourse, woman",1800,Mademoiselle Caroline Rivière,1806,Jean-Auguste-Dominique Ingres,Department of Paintings of the Louvre,13
Q24118,"boy, crutch, landscape, smile",1640,The Clubfoot,1642,Jusepe de Ribera,Department of Paintings of the Louvre,13
Q24160,"Christian cross, Jesus, John the Apostle, John the Baptist, Mary, Mary Magdalene, book, funerary hatchment, orb, skull, waist-length hair, woman",1450,Braque Triptych,1450-1452,Rogier van der Weyden,Department of Paintings of the Louvre,13
Q2629419,"Christ Child, Mary, boy, mother, woman",1500,Madonna with Beardless Saint Joseph,1506,Raphael,Hermitage Museum,13
Q2633689,"Cleopatra, Proserpina, Simonetta Vespucci, angel, aspic viper, bijou, château, cloud, death, female breast, female toplessness, hairstyle, necklace, pearl, pigtail, red hair, sea, shore, sky, snake, tree, vespaio, waist-length hair, woman",1480,Portrait of Simonetta Vespucci,1480,Piero di Cosimo,Condé Museum,13
Q40432,"Paris horse market, Percheron, Pitié-Salpêtrière Hospital, boulevard de l'Hôpital, bridle, cloud, equestrianism, fence, hoof, horse, livestock blanket, man, rein, rider, tree",1850,The Horse Fair,1852-1855,Rosa Bonheur,Metropolitan Museum of Art,13
Q6644913,"back, brown hair, chignon, earring, hair care, intergluteal cleft, mirror, mirror image, specular reflection, toplessness, woman",1840,A nude woman doing her hair before a mirror,1841,Christoffer Wilhelm Eckersberg,Hirschsprung Collection,13
Q7401211,Eulalia of Mérida,1880,Saint Eulalia,1885,John William Waterhouse,National Gallery,13
Q7715071,"bird, couple, fallen woman, house cat, interior, piano, window, yarn",1850,The Awakening Conscience,1853,William Holman Hunt,Tate Britain,13
Q8874171,"bandage, barefoot, blindfold, blindness, blond hair, hope, lyre, malleolus, music, personification, sitting, sole, toe, woman",1880,Hope,1886,George Frederic Watts,National Gallery,13
Q9391004,"Cupressus, field",1880,Green Wheat Field with Cypress,1889,Vincent van Gogh,National Gallery Prague,13
Q9392232,"Annunciation, Gabriel, Mary, angel, bedroom, book, bouquet, candlestick, carafe, curtain, ewer, flower, water, window",1480,Annunciation,1480-1489,Hans Memling,Metropolitan Museum of Art,13
Q10466368,"Marie-Suzanne Giroust, gaze towards the viewer, hand fan",1760,"The Lady with a Fan, The Artist's Wife",1768,Alexander Roslin,Nationalmuseum,13
Q12899114,"Apollodorus the Sicilian, Cleopatra, Julius Caesar",1860,Cleopatra and Caesar,1866,Jean-Léon Gérôme,http://www.wikidata.org/.well-known/genid/24a9cb3ca70d06edf27a6536729be77b,13
Q16939042,jealousy,1890,Jealousy,1895,Edvard Munch,Art Museums of Bergen,13
Q17021187,"Wolfgang Lazius, book, librarian",1550,The Librarian,1556,Giuseppe Arcimboldo,Skokloster Castle,13
Q2574120,"Prunus persica, boy, fruit, peeler, shirt",1590,Boy Peeling Fruit,1592-1593,Caravaggio,Royal Collection,13
Q2604155,"Jesus, Lamentation of Christ, Mary Magdalene",1450,Lamentation of Christ,1450,Rogier van der Weyden,Uffizi Gallery,13
Q1224572,"Great St Bernard Pass, Napoleon, Q2862970, hand-in-waistcoat, man, mule, snow",1840,Bonaparte Crossing the Alps,1848,Paul Delaroche,Department of Paintings of the Louvre,13
Q17491812,"Ancient Greece, Greeks, blond hair, boy, brown hair, clothed female, naked male, clothing in ancient Greece, cockfight, combat, couple, fountain, girl, kneeling, laurel tree, littoral zone, meander, mons pubis, navel, nudity, plant, pubic hair removal, rooster, sculpture, sea, see-through clothing, shore, sitting, sky, sphinx, squatting position, statue, teenager, waist-length hair",1840,Young Greeks Attending a Cock Fight,1846,Jean-Léon Gérôme,Musée d'Orsay,13
Q17511613,,1880,Crab on its Back,1887,Vincent van Gogh,Van Gogh Museum,13
Q18384815,"nudity, textile, tree, woman",1850,The Bathers,1853,Gustave Courbet,Musée Fabre,13
Q18891111,kiss,1890,The Kiss,1897,Edvard Munch,Munch Museum,13
Q20087512,"Odysseus, lyre, nudity, siren, skeleton, skull",1830,The Sirens and Ulysses,1837,William Etty,Manchester Art Gallery,13
Q1130734,"Andromeda, Pathos, Typha latifolia, areola, chain, cliff, damsel in distress, female breast, navel, night, nipple, prisoner, red hair, reed, rock, sea, shore, sky, standing, toplessness, waist-length hair, woman",1630,Andromeda Chained to the Rocks,1630,Rembrandt,Mauritshuis,13
Q1131110,"Agony in the Garden, Jesus, John the Apostle, Judas Iscariot, Saint Peter, St. James the Elder, Apostle",1450,Agony in the Garden,1458-1460,Giovanni Bellini,National Gallery,13
Q1132479,"Saint Lucy, woman",1600,The Burial of Saint Lucy,1608,Caravaggio,Santa Lucia al Sepolcro sanctuary,13
Q2146810,"Robert Walker, ice skating",1790,The Skating Minister,1795-1799,Henry Raeburn,Scottish National Gallery,13
Q1196533,"Hail Caesar! We Who Are about to Die Salute You, Staunton chess set, afternoon, beard, bottle, bow tie, carafe, carpet, chair, chess, chess player, chess table, console, cup, dado, dress shirt, elderly people, fireplace mantel, frame, glasses, globe, guéridon, hair loss, hookah, house cat, interior, jacket, man, moustache, parlour, pendulum clock, playing, shoe, sitting, standing, thought, trousers, vest, vitrine, wall, wedding ring, white hair, wrinkle",1870,The Chess Players,1876,Thomas Eakins,Metropolitan Museum of Art,13
Q2733729,"Crown of thorns, Jesus, man",1490,Christ Crowned with Thorns,1495,Hieronymus Bosch,National Gallery,13
Q3211036,"Aphrodite, Venus, armpit, bird's wing, breaking wave, chestnut hair, flight, foam, mons pubis, navel, nudity, pubic hair removal, putto, sea, sky, standing, waist, waist-length hair, woman",1890,Venus Rising,1890,Jean-Léon Gérôme,http://www.wikidata.org/.well-known/genid/88e2b7f45c6ad185064490b6da4c204a,13
Q2881603,"Amsterdam–Rhine Canal, Binnen korenmolen, Lek, Wijk bij Duurstede, cloud, sailing ship, shore, sky",1670,The Windmill at Wijk bij Duurstede,1670,Jacob van Ruisdael,Rijksmuseum,13
